name,family,score_sig,filter,top_n,sizing,universe,regime,dual_mom,alpha_full,alpha_is,alpha_oos,cagr_full,cagr_oos,sharpe_full,sortino,max_dd,calmar,hit_rate,ybs,turnover,final_score
F3_full_mom12_vol6_sma200_t3_rank_603010_dual,3,mom12_vol6,sma200,3,rank_603010,full,False,True,-0.008457613471374748,-0.0255738512046908,0.0564630570159288,0.09888472038479534,0.20554613671307775,0.6814426847714683,0.8388265451784418,-0.23873286029552054,0.4142065749239078,0.5598576810380913,6,9.83157894736842,-0.194227725568051
F3_full_mom12_vol6_ema200_t1_top1_dual,3,mom12_vol6,ema200,1,top1,full,False,True,-0.02267651689201622,-0.05197847575784009,0.07948240101494775,0.08466581696415387,0.2285654807120967,0.5391381629092326,0.6350107204852945,-0.30490959770111015,0.27767514569071766,0.5395562997069904,6,11.578947368421053,-0.30172358306856895
F3_full_mom12_vol6_ema200_t2_equal_dual,3,mom12_vol6,ema200,2,equal,full,False,True,-0.018620423633041838,-0.023567856454225433,0.012027033622849626,0.08872191022312825,0.16111011331999858,0.6138440198477857,0.765750568141479,-0.24856844086020313,0.35693151518388516,0.5519045625784847,6,9.31578947368421,-0.1959739827049835
F3_full_mom12_vol6_ema200_t2_rank_7030_dual,3,mom12_vol6,ema200,2,rank_7030,full,False,True,-0.020508652280526007,-0.03514779145841618,0.03864435107019504,0.08683368157564408,0.187727430767344,0.5930692886734432,0.7232864331078984,-0.26819157009532035,0.3237748358189698,0.5512766848053579,5,10.221052631578948,-0.2423866043953986
F3_full_mom12_vol6_ema200_t3_rank_603010_dual,3,mom12_vol6,ema200,3,rank_603010,full,False,True,-0.011585538712568066,-0.026141130702478588,0.048468711605055725,0.09575679514360202,0.19755179130220468,0.6594091032369469,0.813850071953728,-0.23873286029552054,0.4011043767710379,0.557346169945584,6,9.852631578947369,-0.20223486809691588
F4_tech_a_mom12_none_t1_top1,4,mom12,none,1,top1,tech_a,False,False,0.05024346310162109,-0.005247703927538483,0.05869415904970521,0.15758579695779118,0.20777723874685416,0.739782354887141,1.0088819296436333,-0.38649122624975174,0.40773447430332815,0.5397655922980327,11,6.421052631578947,0.03551509145178905
F4_tech_a_mom12_none_t2_rank_7030,4,mom12,none,2,rank_7030,tech_a,False,False,0.04409349287647668,0.006548604377153877,0.061070449180617103,0.15143582673264677,0.21015352887776606,0.8062054456930792,1.0796040778498455,-0.3260628695893405,0.46443750839637904,0.5504395144411888,10,5.536842105263157,0.08267882244294822
F4_tech_a_mom12_none_t2_equal,4,mom12,none,2,equal,tech_a,False,False,0.038612542062759436,0.013786875184764957,0.06099310624056753,0.14595487591892953,0.2100761859377165,0.8192652503170287,1.0925612423845898,-0.2886575613535357,0.5056333020847845,0.5506488070322311,10,4.947368421052632,0.11189589413956513
F4_tech_a_mom12_sma200_t1_top1,4,mom12,sma200,1,top1,tech_a,False,False,0.05443385187308514,0.024656368917381988,0.04481020279373471,0.16177618572925523,0.19389328249088367,0.7679749573666762,1.0492594971320515,-0.42673532126775193,0.3791019343059019,0.5406027626622018,11,6.526315789473685,0.029318260434001736
F4_tech_a_mom12_sma200_t2_rank_7030,4,mom12,sma200,2,rank_7030,tech_a,False,False,0.047173618404071416,0.03126615329999316,0.042841419280930104,0.1545159522602415,0.19192449897807906,0.8188419258635985,1.1017758648016616,-0.36408862972024036,0.42439104011286755,0.5529510255336961,9,6.147368421052631,0.04454816202544737
F4_tech_a_mom12_sma200_t2_equal,4,mom12,sma200,2,equal,tech_a,False,False,0.04166405470386447,0.035982897253302726,0.04042778639503086,0.14900638856003456,0.18951086609217982,0.8265218998553973,1.1120461718535704,-0.31987768315205933,0.4658230205112553,0.5529510255336961,9,5.894736842105263,0.05540382172573308
F4_tech_a_mom12_ema200_t1_top1,4,mom12,ema200,1,top1,tech_a,False,False,0.0426451643900152,0.007269224993589285,0.044562384345189,0.1499874982461853,0.19364546404233796,0.7201994640180458,0.9699308685505585,-0.42047316681990654,0.3567112245962336,0.5410213478442863,11,6.947368421052632,-0.003064300230247341
F4_tech_a_mom12_ema200_t2_rank_7030,4,mom12,ema200,2,rank_7030,tech_a,False,False,0.034140574275947744,0.01264399141412742,0.03773400630428503,0.14148290813211784,0.18681708600143399,0.7645054082514998,1.0170803873713141,-0.35929186078681663,0.39378266967217984,0.5527417329426538,9,6.6000000000000005,0.007020663892021106
F4_tech_a_mom12_ema200_t2_equal,4,mom12,ema200,2,equal,tech_a,False,False,0.0275949512051481,0.01605028057136959,0.03231944643070617,0.1349372850613182,0.18140252612785512,0.7675960993160901,1.0218192441220793,-0.3208790211590401,0.42052386152860405,0.5506488070322311,9,6.368421052631579,0.014820597729737234
F4_tech_a_mom12_spy_sma200_t1_top1,4,mom12,spy_sma200,1,top1,tech_a,False,False,0.05024346310162109,-0.005247703927538483,0.05869415904970521,0.15758579695779118,0.20777723874685416,0.739782354887141,1.0088819296436333,-0.38649122624975174,0.40773447430332815,0.5397655922980327,11,6.421052631578947,0.03551509145178905
F4_tech_a_mom12_spy_sma200_t2_rank_7030,4,mom12,spy_sma200,2,rank_7030,tech_a,False,False,0.04409349287647668,0.006548604377153877,0.061070449180617103,0.15143582673264677,0.21015352887776606,0.8062054456930792,1.0796040778498455,-0.3260628695893405,0.46443750839637904,0.5504395144411888,10,5.536842105263157,0.08267882244294822
F4_tech_a_mom12_spy_sma200_t2_equal,4,mom12,spy_sma200,2,equal,tech_a,False,False,0.038612542062759436,0.013786875184764957,0.06099310624056753,0.14595487591892953,0.2100761859377165,0.8192652503170287,1.0925612423845898,-0.2886575613535357,0.5056333020847845,0.5506488070322311,10,4.947368421052632,0.11189589413956513
F4_tech_a_mom6_none_t1_top1,4,mom6,none,1,top1,tech_a,False,False,0.010371579182578916,-0.042809174980984466,0.12304020124238924,0.11771391303874901,0.2721232809395382,0.5964783735162571,0.8244892967560754,-0.6013862867145094,0.1957376076562089,0.5364169108413562,11,9.894736842105264,-0.176448285861422
F4_tech_a_mom6_none_t2_rank_7030,4,mom6,none,2,rank_7030,tech_a,False,False,0.020858995795612456,-0.004493209398386266,0.06047376761935652,0.12820132965178255,0.20955684731650548,0.7012198360037657,0.9553945500226328,-0.5026362904849507,0.25505784615769,0.5449979070740896,11,8.31578947368421,-0.0864896618859835
F4_tech_a_mom6_none_t2_equal,4,mom6,none,2,equal,tech_a,False,False,0.02726983579236153,0.020969717003504584,0.01975638869114804,0.13461216964853162,0.168839468388297,0.7593546193294274,1.0243402620724023,-0.43539446611557087,0.30917289980621904,0.5477187107576392,13,7.2631578947368425,-0.017538244893117144
F4_tech_a_mom6_sma200_t1_top1,4,mom6,sma200,1,top1,tech_a,False,False,0.035096286211743655,0.008705899326685307,0.13335827311442405,0.14243862006791375,0.282441352811573,0.7118260543457425,1.013149326261912,-0.4426085979523571,0.32181620674988787,0.537044788614483,11,9.052631578947368,-0.08817779732961281
F4_tech_a_mom6_sma200_t2_rank_7030,4,mom6,sma200,2,rank_7030,tech_a,False,False,0.0388046185980615,0.03049139536277723,0.07866813210611845,0.1461469524542316,0.2277512118032674,0.7928316676831493,1.104464122574033,-0.34583378750266924,0.4225930424831715,0.5479280033486814,11,8.042105263157895,-0.03616348909225697
F4_tech_a_mom6_sma200_t2_equal,4,mom6,sma200,2,equal,tech_a,False,False,0.041385090903605315,0.04551702749027009,0.043279026018894884,0.1487274247597754,0.19236210571604384,0.834682321245472,1.14879036031223,-0.3099481851765019,0.47984609000075823,0.5491837588949351,11,7.368421052631579,-0.005786223435542304
F4_tech_a_mom6_ema200_t1_top1,4,mom6,ema200,1,top1,tech_a,False,False,0.027949261691276872,-0.0005035872235126249,0.13361172797630871,0.13529159554744696,0.28269480767345767,0.6861955522735845,0.9694166490570925,-0.4426085979523571,0.30566870181317607,0.5376726663876099,11,9.263157894736842,-0.10533146177953154
F4_tech_a_mom6_ema200_t2_rank_7030,4,mom6,ema200,2,rank_7030,tech_a,False,False,0.03122362630645603,0.02190226559215036,0.07297731286615772,0.13856596016262612,0.22206039256330667,0.7675731295265367,1.0584467369092128,-0.34583378750266924,0.40067212970495725,0.5481372959397237,10,8.31578947368421,-0.06363928092543186
