name,family,score_sig,filter,top_n,sizing,universe,regime,dual_mom,alpha_full,alpha_is,alpha_oos,cagr_full,cagr_oos,sharpe_full,sortino,max_dd,calmar,hit_rate,ybs,turnover,final_score
F1_alpha_mom3_sma150_t2_rank_6040,1,mom3,sma150,2,rank_6040,alpha,False,False,0.09369149110501951,0.07835340233558874,0.19931640734627587,0.2010338249611896,0.3483994870434248,0.9922281779010101,1.2711456639417376,-0.32356824672810247,0.6213026988711914,0.552113855169527,13,10.842105263157896,-0.07757846519527378
F1_full_avg3_6_12_sma200_t1_top1,1,avg3_6_12,sma200,1,top1,full,False,False,0.09359129912136988,0.07797908391382502,0.1673381067638675,0.20093363297753997,0.31642118646101647,0.864008808233166,1.18770275864623,-0.3049095977011097,0.6589941231515675,0.5406027626622018,12,9.263157894736842,-0.03276072708731692
F3_full_avg3_6_12_sma200_t1_top1_dual,3,avg3_6_12,sma200,1,top1,full,False,True,0.09359129912136988,0.07797908391382502,0.1673381067638675,0.20093363297753997,0.31642118646101647,0.864008808233166,1.18770275864623,-0.3049095977011097,0.6589941231515675,0.5406027626622018,12,9.157894736842106,-0.027497569192580118
F1_alpha_mom3_sma150_t2_rank_7030,1,mom3,sma150,2,rank_7030,alpha,False,False,0.09353781519925164,0.07268897820096676,0.21235339441166556,0.20088014905542173,0.3614364741088145,0.9697402860555425,1.2543606028792271,-0.3267029773201815,0.6148708857910146,0.5516952699874424,13,11.368421052631579,-0.10341781268846834
F1_sector_mom1_none_t2_rank_6040,1,mom1,none,2,rank_6040,sector,False,False,0.09273488799194518,0.11304737287659417,0.11193160620875586,0.20007722184811527,0.2610146859059048,0.9886391886248737,1.2644568781546093,-0.3456538880909067,0.5788368907208563,0.5441607367099205,13,18.673684210526314,-0.49629384254160097
F1_sector_mom1_spy_sma200_t2_rank_6040,1,mom1,spy_sma200,2,rank_6040,sector,False,False,0.09273488799194518,0.11304737287659417,0.11193160620875586,0.20007722184811527,0.2610146859059048,0.9886391886248737,1.2644568781546093,-0.3456538880909067,0.5788368907208563,0.5441607367099205,13,18.673684210526314,-0.49629384254160097
F1_alpha_mom3_dual_sma200_t2_rank_7030,1,mom3,dual_sma200,2,rank_7030,alpha,False,False,0.09268752533732205,0.08663554540519547,0.1616192645373813,0.20002985919349214,0.31070234423453025,0.9711952356875976,1.2705919682587825,-0.3267029773201814,0.6122682469387332,0.5481372959397237,14,11.76842105263158,-0.13349676725598036
F1_alpha_mom3_sma200_t2_rank_7030,1,mom3,sma200,2,rank_7030,alpha,False,False,0.09246473075194084,0.07756043899879339,0.19616475820752388,0.19980706460811093,0.34524783790467284,0.9690968118062551,1.2649239040498748,-0.3267029773201815,0.6115862984997908,0.5496023440770197,13,11.673684210526314,-0.12406331636076501
F1_alpha_mom3_sma150_t1_top1,1,mom3,sma150,1,top1,alpha,False,False,0.09227134519782121,0.055107118363024066,0.2500161710055071,0.1996136790539913,0.39909925070265606,0.8797690849014149,1.1716339741759099,-0.34576326331024587,0.577313151035604,0.5416492256174131,9,12.947368421052632,-0.2061212478840072
F1_tech_heavy_mom3_dual_sma200_t1_top1,1,mom3,dual_sma200,1,top1,tech_heavy,False,False,0.0901769123878764,0.05093741592530354,0.26278164975601137,0.1975192462440465,0.4118647294531603,0.8782341494125198,1.1898148771865467,-0.35448265877817564,0.5572042562670124,0.5410213478442863,11,12.631578947368421,-0.17704382823248394
